FOREST_COVER1,PCP1,FOREST_COVER2,PCP2,FOREST_COVER3,PCP3,FOREST_COVER4,PCP4,FOREST_COVER5,PCP5,FOREST_COVER6,PCP6,FOREST_COVER7,PCP7,FOREST_COVER8,PCP8,FOREST_COVER9,PCP9,FOREST_COVER10,PCP10,FOREST_COVER11,PCP11,FOREST_COVER12,PCP12,FOREST_COVER13,PCP13,FOREST_COVER14,PCP14,FOREST_COVER15,PCP15,FOREST_COVER16,PCP16,FOREST_COVER17,PCP17,FOREST_COVER18,PCP18,FOREST_COVER19,PCP19,FOREST_COVER20,PCP20,FOREST_COVER21,PCP21,FOREST_COVER22,PCP22,FOREST_COVER23,PCP23,FOREST_COVER24,PCP24,FOREST_COVER25,PCP25,FOREST_COVER26,PCP26,FOREST_COVER27,PCP27,FOREST_COVER28,PCP28,FOREST_COVER29,PCP29,FOREST_COVER30,PCP30,FOREST_COVER31,PCP31
23.159,1023.4,27.389,1023.4,39.676,1023.399,26.09,1023.4,45.949,1023.4,70.986,1023.4,22.576,1023.4,32.63,1023.4,15.922,1023.4,52.293,1181.701,28.871,1023.4,26.502,1181.701,53.405,1023.4,11.389,1023.4,13.36,1181.701,15.396,1181.7,22.471,1181.701,7.379,1181.7,13.159,1181.7,4.032,1023.4,34.222,1181.7,30.666,1023.4,9.166,1181.7,24.661,1181.701,15.341,1115.9,8.667,1030.7,37.559,1030.701,20.993,1030.7,34.855,1030.7,48.108,1030.701,46.108,1030.7
23.159,909.2,27.389,909.2,39.676,909.199,26.09,909.2,45.949,909.2,70.986,909.2,22.576,909.2,32.63,909.2,15.922,909.2,52.293,949.8,28.871,909.2,26.502,949.8,53.405,909.2,11.389,909.2,13.36,949.8,15.396,949.8,22.471,949.8,7.379,949.8,13.159,949.8,4.032,909.2,34.222,949.8,30.666,909.2,9.166,949.8,24.661,949.8,15.341,982.901,8.667,954.4,37.559,954.401,20.993,954.4,34.855,954.4,48.108,954.401,46.108,954.4
23.159,1061.8,27.389,1061.8,39.676,1061.799,26.09,1061.8,45.949,1061.8,70.986,1061.8,22.576,1061.8,32.63,1061.8,15.922,1061.8,52.293,1069.6,28.871,1061.8,26.502,1069.6,53.405,1061.8,11.389,1061.8,13.36,1069.6,15.396,1069.6,22.471,1069.6,7.379,1069.6,13.159,1069.6,4.032,1061.8,34.222,1069.6,30.666,1061.8,9.166,1069.6,24.661,1069.601,15.341,1164.301,8.667,956.3,37.559,956.301,20.993,956.3,34.855,956.3,48.108,956.301,46.108,956.3
23.159,883.4,27.389,883.4,39.676,883.4,26.09,883.4,45.949,883.4,70.986,883.4,22.576,883.4,32.63,883.4,15.922,883.4,52.293,835.4,28.871,883.4,26.502,835.4,53.405,883.4,11.389,883.4,13.36,835.4,15.396,835.4,22.471,835.4,7.379,835.4,13.159,835.4,4.032,883.4,34.222,835.4,30.666,883.4,9.166,835.4,24.661,835.4,15.341,951.0,8.667,792.2,37.559,792.201,20.993,792.2,34.855,792.2,48.108,792.201,46.108,792.2
23.159,900.0,27.389,900.0,39.676,900.0,26.09,900.0,45.949,900.0,70.986,900.0,22.576,900.0,32.63,900.0,15.922,900.0,52.293,810.6,28.871,900.0,26.502,810.6,53.405,900.0,11.389,900.0,13.36,810.6,15.396,810.6,22.471,810.6,7.379,810.6,13.159,810.6,4.032,900.0,34.222,810.6,30.666,900.0,9.166,810.6,24.661,810.6,15.341,1054.901,8.667,844.5,37.559,844.501,20.993,844.5,34.855,844.5,48.108,844.501,46.108,844.5
23.159,1025.2,27.389,1025.2,39.676,1025.199,26.09,1025.2,45.949,1025.2,70.986,1025.2,22.576,1025.2,32.63,1025.2,15.922,1025.2,52.293,1106.801,28.871,1025.2,26.502,1106.8,53.405,1025.2,11.389,1025.2,13.36,1106.801,15.396,1106.8,22.471,1106.801,7.379,1106.8,13.159,1106.8,4.032,1025.2,34.222,1106.8,30.666,1025.2,9.166,1106.8,24.661,1106.801,15.341,1108.5,8.667,1149.8,37.559,1149.801,20.993,1149.8,34.855,1149.8,48.108,1149.801,46.108,1149.8
23.159,913.1,27.389,913.1,39.676,913.1,26.09,913.1,45.949,913.1,70.986,913.1,22.576,913.1,32.63,913.1,15.922,913.1,52.293,920.8,28.871,913.1,26.502,920.8,53.405,913.1,11.389,913.1,13.36,920.8,15.396,920.8,22.471,920.8,7.379,920.8,13.159,920.8,4.032,913.1,34.222,920.8,30.666,913.1,9.166,920.8,24.661,920.8,15.341,934.0,8.667,911.8,37.559,911.801,20.993,911.8,34.855,911.8,48.108,911.801,46.108,911.8
23.159,1016.5,27.389,1016.5,39.676,1016.499,26.09,1016.5,45.949,1016.5,70.986,1016.5,22.576,1016.5,32.63,1016.5,15.922,1016.5,52.293,781.9,28.871,1016.5,26.502,781.9,53.405,1016.5,11.389,1016.5,13.36,781.9,15.396,781.9,22.471,781.901,7.379,781.9,13.159,781.9,4.032,1016.5,34.222,781.9,30.666,1016.5,9.166,781.9,24.661,781.9,15.341,995.0,8.667,986.2,37.559,986.201,20.993,986.2,34.855,986.2,48.108,986.201,46.108,986.2
23.159,900.3,27.389,900.3,39.676,900.3,26.09,900.3,45.949,900.3,70.986,900.3,22.576,900.3,32.63,900.3,15.922,900.3,52.293,830.2,28.871,900.3,26.502,830.2,53.405,900.3,11.389,900.3,13.36,830.2,15.396,830.2,22.471,830.2,7.379,830.2,13.159,830.2,4.032,900.3,34.222,830.2,30.666,900.3,9.166,830.2,24.661,830.2,15.341,1051.901,8.667,937.8,37.559,937.801,20.993,937.8,34.855,937.8,48.108,937.801,46.108,937.8
23.159,1214.6,27.389,1214.6,39.676,1214.599,26.09,1214.6,45.949,1214.6,70.986,1214.6,22.576,1214.6,32.63,1214.6,15.922,1214.6,52.293,1021.0,28.871,1214.6,26.502,1021.0,53.405,1214.6,11.389,1214.6,13.36,1021.0,15.396,1021.0,22.471,1021.001,7.379,1021.0,13.159,1021.0,4.032,1214.6,34.222,1021.0,30.666,1214.6,9.166,1021.0,24.661,1021.0,15.341,1083.201,8.667,986.6,37.559,986.601,20.993,986.6,34.855,986.6,48.108,986.601,46.108,986.6
