FLOW_OUTcms,EVAPcms,TLOSScms,SED_OUTtons,SEDCONCmgL,ORGN_OUTkg,ORGP_OUTkg,NO3_OUTkg,NH4_OUTkg,NO2_OUTkg,MINP_OUTkg,CHLA_OUTkg,CBOD_OUTkg,DISOX_OUTkg,TOTNkg
9.50758548,5399.68388,38.302108468,3422.11968,494.775868716,32.884091804,459.047139928,158.744425396,52.281705008,45.63335484,2.061419712,19718.6744015,5354.79588863,1146.48715839,75.4826919
11.28240477,7339.83537,94.333909236,5045.97681,546.835911846,43.374407664,593.423001549,168.341057094,45.952694445,51.975609231,3.872166375,60617.8270883,8089.65267533,1323.26530461,92.15115945
11.46246608,4566.8116,33.5887838,3234.504,460.844890792,30.494595664,458.382663128,144.778247328,45.1405838,34.828060904,1.54178024,20251.7293519,4895.7067484,1113.33214127,63.689386072
21.776625,8818.875,76.4118225,6092.775,748.9208025,55.0973475,655.7148,236.1320325,65.0259675,63.8179425,4.4421975,41856.9503625,9515.4228,1674.745605,115.6501125
6.89584157,7430.97795,68.267771867,4903.65069,534.383215283,41.411078404,563.322437005,167.775586971,47.706878439,49.05505123,3.042064877,45349.5308921,7566.48984672,1283.9034416,87.028805609
8.75096516,5437.07812,54.09400476,3653.82052,445.867711972,32.154549356,489.86550662,149.265905604,46.259559704,48.85289922,2.215326056,36806.7262718,5552.93079359,1126.42345522,78.889272908
7.13601132,5389.99012,58.101236368,4027.18656,466.706478128,36.061686948,480.541541956,154.723101748,44.991111472,42.296569924,2.709507444,41650.155461,4849.51832778,1126.741267,75.820857232
7.21223856,5754.17696,74.085372784,4245.59984,612.9943544,46.990225552,449.223268176,196.011239168,49.951123872,54.973744256,3.46260928,51694.6280101,5929.89381862,1300.01277411,99.412706432
6.2557547,4133.32595,35.63649427,3121.21875,358.272465135,25.79042245,453.717004,115.225574815,31.6050449,32.762476045,1.77584862,21200.0746664,4184.57536308,949.568130615,55.971692205
8.96445935,7387.9113,97.62169648,4607.66306,678.813948659,54.102756169,647.540759019,204.748021401,58.480956688,60.296173399,4.437119687,67390.8435396,7640.49063847,1549.56007907,109.762957689
21.9351321,7364.56644,64.29649077,4953.33792,599.778999486,46.512296118,511.528790736,192.661437546,47.17626489,55.437868746,4.067123346,36875.9436611,7584.41384987,1344.54028702,99.918490896
7.0621278,7201.5853,86.424880815,5173.87325,658.849387105,56.417531625,552.286006545,214.24130546,53.48976087,61.79027127,4.71868397,62555.7668754,7214.20034654,1448.33921323,114.291836295
19.4880686,10549.24871,119.121289287,6545.10857,1059.3184592,85.39659128,1000.05029224,339.833378885,88.819222492,101.090126137,6.72056385,83560.1193497,11402.9094559,2457.55229019,181.645091628
16.4887107,7331.0622,69.80525706,5017.551,624.82302036,51.30038067,462.95385906,201.1840215,52.14990396,65.5445406,3.88921995,48093.1937086,7658.82296718,1324.3245015,113.40060732
5.34029064,3802.17015,30.503756061,2514.87345,293.369211357,22.233471963,247.226392923,103.282070328,29.1566067,33.318290949,1.350732558,18941.5331405,3808.10737472,659.081843034,53.179155654
16.64907837,9760.32435,88.957882328,5303.48641,889.579576973,68.341615237,1040.18552701,291.840983764,82.465068364,92.30478171,5.474574721,58334.7280102,9665.55901188,2241.68673034,154.756034921
21.9982147,8863.35835,98.19868795,6428.60449,754.37400643,68.235044801,742.099246713,229.88897129,56.187894906,72.543460748,5.16851258,65276.1116231,10120.6423603,1774.56729979,138.193639045
11.68648305,7647.38865,122.82084837,5358.93435,678.51188262,62.08296633,560.589259395,206.967642255,55.15229742,72.508055565,5.47802178,94089.5301862,7910.24643783,1482.62286298,131.30130024
7.774418,7383.412,70.6235545,4775.859,662.8739952,53.6983266,561.0651732,209.0295225,60.1247895,65.7057654,4.4424883,49862.6862134,7380.2999477,1472.0012457,115.47372
12.3892846,5872.8427,51.761808,3657.9029,494.81618196,37.97543386,419.20286148,166.04842243,45.83316388,55.45582777,2.46364981,34112.6774427,6001.64213405,1106.38177231,89.02123775
