,FOREST_COVER1,PCP1,FOREST_COVER2,PCP2,FOREST_COVER3,PCP3,FOREST_COVER4,PCP4,FOREST_COVER5,PCP5,FOREST_COVER6,PCP6,FOREST_COVER7,PCP7,FOREST_COVER8,PCP8,FOREST_COVER9,PCP9,FOREST_COVER10,PCP10,FOREST_COVER11,PCP11,FOREST_COVER12,PCP12,FOREST_COVER13,PCP13,FOREST_COVER14,PCP14,FOREST_COVER15,PCP15,FOREST_COVER16,PCP16,FOREST_COVER17,PCP17,FOREST_COVER18,PCP18,FOREST_COVER19,PCP19,FOREST_COVER20,PCP20,FOREST_COVER21,PCP21,FOREST_COVER22,PCP22,FOREST_COVER23,PCP23,FOREST_COVER24,PCP24,FOREST_COVER25,PCP25,FOREST_COVER26,PCP26,FOREST_COVER27,PCP27,FOREST_COVER28,PCP28,FOREST_COVER29,PCP29,FOREST_COVER30,PCP30,FOREST_COVER31,PCP31
FLOW_OUTcms,0.00014503442122045014,0.00169381924967539,0.0006365300990262243,0.016316622934160648,0.0006227395626013249,0.0036516985876777633,0.0022030285751118216,0.011278325815356934,0.0016611213943988085,0.04954091949301752,0.000759792276148979,0.2306155521473535,0.00039162881198540197,0.009651033928430015,0.001320981778934684,0.02661426630779004,0.0013230322499440106,0.010780889395863044,0.001982842371276889,0.007102292598459463,0.0033315170731517928,0.04356206562736082,0.0008901907297441654,0.006619244638065132,0.00027394445250638623,0.007097813556217287,0.0004717405191956972,0.024195799050354773,0.002010437339176262,0.0026301237885952345,0.00031355394916427083,0.001528522520871978,0.007739062552272423,0.005409138858570294,0.0002862186040684503,0.003839191962497178,0.0012526039774570933,0.005075589928650839,0.0024628400447294953,0.0006753504548651487,0.0008395780311226764,0.01532311791346394,0.00043511015403547535,0.007851371341898152,0.002753402850419013,0.024663183700125487,0.00019339045571231743,0.0028369906707832165,0.0005618237299958817,0.10966242030437807,0.0008544817419112933,0.051828275048217486,0.00105210500894893,0.0471319288676636,0.000633711497906916,0.052025944246816246,0.00042397626812610016,0.03478879805221383,0.0007699247613180883,0.06714237723324346,0.0013912908685404107,0.07887969562721174
EVAPcms,3.733615896721133e-05,0.004345899129887401,9.231324838720557e-05,0.019393244148263974,8.382270915030902e-05,0.02671160929810048,1.3082057608053378e-05,0.02509843733431243,7.201908585363795e-05,0.008886876624134718,2.3589460254869628e-05,0.019923336191666804,4.576165419293352e-05,0.04564494679683679,6.267866044204606e-05,0.034506654344634194,3.03320148566642e-05,0.022651312678780428,2.2072338687044405e-05,0.049352452947099515,3.776751259282412e-05,0.014514843430410604,1.3177291852292302e-05,0.03179287984125768,1.9894803729482192e-05,0.01134438674115869,3.577293316562053e-05,0.029932219222053618,0.00010591462636354446,0.02518476589152192,3.938391641649801e-05,0.023411812193126977,3.9737780280425005e-05,0.010262492665257219,7.063054872246346e-05,0.02206768868615403,7.451951034466624e-05,0.014211564234473697,0.00011207553190626213,0.012012963067034537,4.454271026543853e-05,0.036705015126815274,2.5542385999461466e-05,0.02647667528163089,1.119808889291784e-05,0.030931164409247446,4.295255391990762e-05,0.01629069856994574,5.768558027331986e-05,0.1706562447428993,5.028928511067001e-05,0.02477685363880767,1.3053759542450092e-05,0.020685519822767697,6.26240267048596e-05,0.013858795698923444,1.1042079910475982e-05,0.06452828102536443,3.6070734525118096e-05,0.050860918418125636,1.6170045301894556e-05,0.09157639470508623
TLOSScms,1.9911108537503315e-05,0.002812303698440713,2.852372380400307e-05,0.019459644910313885,2.3792642003250175e-05,0.016453415679437637,2.754048817469204e-05,0.0022748187236518716,5.2497752550830014e-06,0.01898300464920217,1.223574908496008e-05,0.002231384645465619,2.9070553718922938e-05,0.03975655657169445,1.4860189264637869e-05,0.0018172653968103318,1.668886574983565e-05,0.03654539490464804,1.875075650169489e-06,0.029394029690590972,1.8712182848232716e-05,0.02356177882026536,8.56719867406969e-06,0.06438720406395929,7.597029071656107e-06,0.027123351167273484,1.3642861658425679e-05,0.07033586799908217,1.1803514110221629e-05,0.014265627964766492,2.5624457089846032e-05,0.027387013860757252,1.405893332652926e-05,0.039632661573912875,1.6006972987042097e-05,0.060361196990651664,8.601792959426055e-06,0.013230342366345696,1.6836079419074628e-05,0.0022733448369953416,2.150512758804401e-05,0.018018957336532426,2.7613273369400204e-05,0.022372701595948716,1.4571134483650341e-05,0.03151059246346007,4.510370622490352e-06,0.030816861674407964,3.613828181926573e-05,0.13329107872667628,4.654241225338354e-05,0.012603677408667715,6.624852042353967e-06,0.05989514959249932,6.934767559278954e-06,0.0852703360091551,1.2363152269113703e-05,0.026000491690380247,2.0314490527360845e-05,0.03063273218971474,1.3474119772255675e-05,0.03676942162259787
SED_OUTtons,0.00016541102675789299,0.05633459319513604,0.0001373822031938249,0.018609294525600242,0.0003376053342243352,0.04501606426260686,0.0005059568592168681,0.009000460283401337,6.359437353324949e-05,0.028777770464221086,0.00020759229145526516,0.0185767000535415,4.344272755493841e-05,0.0014245039476384154,7.388846119863483e-05,0.04876210557126591,0.00011989731071189211,0.011477043490885717,0.00023800187301162195,0.004863580620074897,8.114001268403968e-05,0.00015066761185336441,0.00011074076973063868,0.020910484660975875,8.760176739662878e-05,0.04924235213752031,8.280168839990698e-05,0.027709496773952923,9.720273490730758e-05,0.031233204122964042,0.0001100315526123676,0.035355453604347484,0.00022412302970393274,0.029133542062009087,5.58420281914071e-05,0.03782126204662313,0.00021349024806916183,0.02183978569382891,0.00013923287031909588,0.04870187816653857,5.949683319245905e-05,0.032603387579955886,6.781599302253066e-05,0.008287246368087774,8.583420564758363e-05,0.024648363073800382,0.0001391222176978286,0.01591764392131222,4.2510533680610214e-05,0.17784534779916888,0.00033114355898319973,0.0053441457632191335,9.388149260387688e-05,0.0366143775460784,0.00018316967495510706,0.05798318052283569,3.4724844109054276e-05,0.02176169397342842,4.2296421653955075e-05,0.03828493063063147,0.0001382178704557448,0.031456246717621095
SEDCONCmgL,4.111257782581699e-05,0.05073785463644835,5.329387303464445e-05,0.020083053554374505,7.506503328648635e-05,0.019475175453489407,0.000186680830251989,0.023862601394460944,8.105183655661113e-05,0.026513226872111904,6.5877663447197e-05,0.011572785705184403,0.00014280671739487087,0.03904568036694586,8.677417266364545e-05,0.05371781294974039,6.756142568402156e-05,0.0383594016145629,7.50790320766505e-05,0.016899035963433093,0.00014114049397536164,0.04111021649270549,0.00013772997120042416,0.009184456210388601,6.106852913551793e-05,0.013640649595102822,7.762135719403277e-05,0.04373584526598839,6.687080504809758e-05,0.007050567188586427,6.758481007615657e-05,0.015648088261320765,0.00012260551948277984,0.0030155285312878496,0.00012965583384174173,0.015663581437820897,4.8859185732734566e-05,0.027684868715078297,6.407032998960685e-05,0.04699384775560361,0.0001246818691607557,0.03482165071450505,6.718367305572955e-05,0.037275537992681865,7.968978289584619e-05,0.01366405281047925,6.264197032517522e-05,0.022603328989609227,6.617119134192963e-05,0.17242832875465755,9.863962351000879e-05,0.04639820162718084,5.214991998995614e-05,0.020321632901755295,6.852648111759916e-05,0.029530881528849112,9.123830692401134e-05,0.02151478662251696,0.00010654987377852576,0.027777361501282995,0.00014390495738724867,0.04691607094446182
ORGN_OUTkg,0.0004745817298608501,0.05006452276500202,0.00014236736367917728,0.05429166184855326,0.00026405623547696706,0.022843588876399368,6.202238867733132e-05,0.009052583975214804,7.867040750036377e-05,0.020424673940640684,0.00016712480660209644,0.02051492013056717,0.00018793681500223737,0.00827772167083457,0.00018387849468564082,0.02979405462098806,0.0005210969520270275,0.007667355481950318,0.0003579984600996231,0.014151691717994247,0.0005360115505387089,0.06716275990836858,0.00021431079686726225,0.027326054076080346,0.00012153219402857877,0.033085209268163294,6.817269400790216e-05,0.03568816854008009,8.538820527214886e-05,0.02818235120076145,0.00021878195551044472,0.03627972645340698,0.00023201826310689013,0.00515798886331199,0.0006140709841190653,0.015078302680852279,0.0002524252220373948,0.028635054178548842,0.0002171384531823945,0.03971592862735025,0.00029886407939401884,0.029360540394073154,0.00012589628181736576,0.007171132558082084,0.00016760467257865343,0.0051067353213213994,0.00012526165187877692,0.055921029730438145,0.00033979611423977016,0.1398512426558069,0.00029995505690064037,0.05127103488751415,0.0001239694787609566,0.031084500770699963,0.0002650793578834855,0.03368486275266847,0.00025275853889127075,0.02814617822085057,0.00010097780965235728,0.039612297992417764,0.0002521161114035763,0.018044262765375803
ORGP_OUTkg,0.0005428212121432653,0.00023842590678025758,0.0009194411643601699,0.02875559763410137,0.004874437747194825,0.008062774107786894,0.0011294875119596732,0.01119163286824409,0.0008216868339592793,0.04886838251922418,0.0007738633236533757,0.06255444917225349,0.0008698598197076904,0.01072864721667135,0.0017170838905470702,0.020106563729194445,0.001626931582514635,0.009095594070503237,0.0008147046221779614,0.009041798368063814,0.0014968794577301502,0.04121525917331332,0.001609764652003643,0.02083548395806717,0.0013556095310427506,4.713058341922151e-05,0.0004255420746642562,0.014725808506446256,0.002124455008467983,0.010018151186676183,0.003837399576901836,0.036783195051511806,0.0019086852317474797,0.008699272142952397,0.0011201591223292133,0.002083124097870406,0.0060326795478831295,0.008128077993622272,0.0005692985686412175,0.013383977943367908,0.001384595187402693,0.014319392005393556,0.0005326499230937249,0.019358876418322894,0.00015537522094826893,0.005241218466136635,0.00010686089065512814,0.0599674502587907,0.0009418981885784746,0.2743503285069558,0.00948951940997002,0.011919112535235797,0.0012375256686977699,0.054931843659655734,0.0060583009699810425,0.06163245486748502,0.00364102232943469,0.003317313485999087,0.000976345767510718,0.029843869615218715,0.005345767914490729,0.03611414200034311
NO3_OUTkg,0.00010266814316477925,0.049184534772849176,5.551060632915567e-05,0.020740381822349798,0.00032303063034513777,0.04521720646057772,5.982576511761093e-05,0.007608755132630348,0.00011518919415279166,0.01820469131182493,6.883303274089365e-05,0.004527994772353553,0.00010496027067137426,0.006853002652574665,0.0001960876241484897,0.010249629156666225,0.00014654279406340755,0.04148333220539473,0.00019487221847824072,0.01850901847523532,9.291164341173178e-05,0.017093779482914635,0.00019778991101448816,0.009755648846630344,0.0001673292979239987,0.03104565771650844,7.010534464777905e-05,0.029187336333387114,5.895338519351309e-05,0.0035741025348666098,0.00034809296362586247,0.014258740922185823,0.00011457502547200833,0.028865816397850852,0.00040229650243931575,0.015640527771906963,0.00014132612417338479,0.012769394790816868,0.00013956636639688555,0.012488510960781081,0.00021388960107129057,0.034043975342913764,7.74838407278147e-05,0.014316986288323749,0.00033260356156569564,0.011241884466223564,0.0002144741130446316,0.02046381517466625,0.000303241504167129,0.2687739250986907,0.00036759770220338463,0.03252738639849393,0.00010326185514890336,0.04157498877907419,0.00024591514838128624,0.06021522733557222,0.00025441552884423996,0.02596390501196254,0.00013527018761604943,0.02812800243215906,0.00021837329415129634,0.059924847971182346
NH4_OUTkg,0.00011034453780820758,0.012634805080310224,6.0133220355694536e-05,0.026320124741332256,0.000258024919125511,0.04512841542157166,8.414125843986234e-05,6.513441969442211e-05,6.874238985380871e-05,0.02324954595912141,8.985694913742599e-05,0.007738594082563684,0.0002980816655039001,0.01712477227174795,0.00044080378787248446,0.00397902071804308,0.00012879118518176254,0.013971305157907935,0.00020349993857343634,0.004127195907638446,5.17702843828488e-05,0.04520086099503137,0.00018213845137455626,0.012670162434239787,0.00020144654125304838,0.026001270151936096,0.00017428476606390174,0.045967632324046555,0.00012900404156466634,0.006310396687964871,0.00010409124432673894,0.005239834957156851,0.00015859832964265107,0.009727908662864174,0.00022564362477424594,0.010539629392396053,0.0001746388561761566,0.01741473271167964,0.00018312973117680766,0.00912744113574825,0.00016495057687690489,0.04544566314954744,0.0005752868937028365,0.0243065277330179,0.00023326171982448102,0.013747022085001065,0.00016805450138202599,0.028654654956079374,0.0001516039214749661,0.17975664465150437,0.0002281958044980078,0.06828294388234908,0.00017923099720828684,0.017523269606303456,0.0002689362698237861,0.1450205739067998,0.00010957358377327217,0.04439905696642192,0.00013016470867316005,0.015043434368096117,0.0005397448592180608,0.06920525592284126
NO2_OUTkg,0.0005353711076755377,0.028327777125991282,0.0012430125615992189,0.021268576251194014,0.00025297374909192345,0.023200856729724165,0.0006187618891073209,0.022148835470337004,0.00048038037581035043,0.00818634831020058,0.0007451131192190134,0.05159398912281162,0.00021648490346098877,0.029342154402411152,0.0005333232543361914,0.05257206825159012,0.0014474432929007471,0.024813026477401905,0.0006589121537608683,0.01348975482285697,0.0004180399888769943,0.006814247538364406,0.0007801100565071068,0.009900585053365126,0.0008466229054143291,0.02713215181507663,0.0005424384559874716,0.018236292765229527,0.0011181703152562698,0.006949359984993212,0.0008172763027108693,0.018348728237062906,0.0007513968518044708,0.016828199317132028,0.0001978242869099933,0.0170355141383714,0.0005627600403702124,0.041800564403263435,0.00030705632588617844,0.0058304986949937075,0.00017867808810507194,0.00042087101693039547,0.0003948500830835438,0.017649559594633206,0.0004187283676194177,0.016290552429530588,0.0005043204109536934,0.03209338837759211,0.0002765736962389004,0.1417055523827511,0.0015696016486183378,0.008878586860477966,0.0007420870345461271,0.07436332099081819,0.00022566349853285838,0.1307526774973318,0.00030815094298252576,0.026172174104047857,0.0010000923295558817,0.06659011509434701,0.0009497437553102079,0.02162171094693604
MINP_OUTkg,9.339790703052648e-05,0.015350152389760726,0.00020927928098364202,0.032038324104580664,0.0017743488635247958,0.028039613902672268,0.000285454677889976,0.10693642696880261,0.00013875654596526185,0.0040628495945681615,0.00017183548847076388,0.01304389047017046,0.0002048495940861614,0.007533928252391797,0.00014931557702031476,0.017522324158173307,0.00041581975028513827,0.02510953974938792,0.0003070189471831259,0.024939030569212085,0.0001285149993711944,0.040123368805082174,0.00020147268820280948,0.055918728665498886,0.00023657991060756323,0.025207889219574453,0.00015285584325368194,0.04394528710901806,0.00014904048783985656,0.01702564477000592,0.0003458386341644047,0.03340434958988462,0.0001291605756867688,0.02805629165529543,0.0003153206293020564,0.03016949576464712,0.00012011256052674589,0.03745138253018325,0.00013733050462928645,0.015223674490180883,0.0004415002083704423,0.017348129853724324,0.00013797744048209468,0.04628760909245439,0.00011478379527748672,0.046332965561731734,0.0003250145301609674,0.06356585471606889,0.00021452538148500176,0.07310272351129145,0.00030414621521676524,0.013340899297866565,0.00030646387319045916,0.011215733460318008,0.00039541271263262835,0.05460527838410454,9.14217164127585e-05,0.001904891750045004,4.9717269933805314e-05,0.036867623060184894,0.0003684231711407128,0.02591040877279225
